Username,FirstName,LastName,Password,email,SecurityQ,SecurityA,UserType
JCameron,James,Cameron,VeryS3cure,james.cameron@example.com,Where did you grow up?,Canada,1
HRoss,Howard,Ross,word456,howard.ross@example.com,Name your favourite TV show?,Friends,0
PKindred,Philip,Kindred,J0eMama,philip.kindred@example.com,What is your mother's maiden name?,Joyce,1
LSmith,Linda,Smith,myPass,linda.smith@example.com,What was your first pet's name?,Buddy,0
EDavis,Emily,Davis,hello321,emily.davis@example.com,What city were you born in?,New York,0
SHill,Sarah,Hill,Cats555,shill@example.com,What was your first pet's name?,Lucky,0
BRoss,Bob,Ross,happytree,bobross@exmaple.com,What is your favorite TV show?,The Joy of Painting,1
SJones,Sam,Jones,246cow,sjones@example.com,What is your mother's maiden name?,Smith,1
JBob,Jones,Bob,bob101,jones.bob@exmaple.com,Where did you grow up?,Alberta,1
tutor123,t,t,123,tutor@exmaple.com,Where did you grow up?,BC,1
MSmith,Mary,Smith,cloud369,MS@example.com,Name your favourite TV show,NCIS,0
RBrown,Robert,Brown,croc333,M.brown@example.com,What was your first pet's name?,Blob,0
nmerr,nick,merr,kys,nmerr@example.com,What was your first pet's name?,chocolat milk the parrot,0
